,src,tgt
0,"def validPosition ( arr , N , K ) :
    """"""Write a function that takes in an array, the length of the array, and a number K.
    The function calculates the sum of all the elements in the array.
    Then, it checks each element in the array and counts how many elements, when increased by K, would be greater than the sum of all the other elements in the array.
    Finally, the function returns the count.
    """"""","How to solve:
Step 1. Initialize a variable sum as 0.
Step 2. Iterate through the array and add each element to the sum.
Step 3. Initialize a variable count as 0.
Step 4. Iterate through the array again.
    -If the element + K is greater than the sum of all other elements, increment count.
Step 5. Return count."
1,"def maxLen ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the frequency of the minimum value in the array.
    """"""","How to solve:
Step 1. Initialize a variable min_val as the first element of the array.
Step 2. Initialize a variable min_freq as 0.
Step 3. Iterate through the array.
    -If the current element is less than min_val, update min_val to the current element.
    -If the current element is equal to min_val, increment min_freq by 1.
Step 4. Return min_freq."
2,"def allBitsSetInTheGivenRange ( n , l , r ) :
    """"""Write a function that takes three integers n, l, and r and returns ""Yes"" if all the bits in the binary representation of n within the range from l to r (inclusive) are set to 1.
    Otherwise, it returns ""No"".
    """"""","How to solve:
Step 1. Convert n to binary representation.
Step 2. Check if all bits within the range from l to r are set to 1.
    -Iterate through the bits from l to r.
    -If any bit is not set to 1, return ""No"".
Step 3. If all bits within the range are set to 1, return ""Yes""."
3,"def countKdivPairs ( A , n , K ) :
    """"""Write a function that takes an array A, its length n, and an integer K as input.
    The function counts the number of pairs in the array whose sum is divisible by K.
    It returns the count of such pairs.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the array A.
    -For each element A[i], iterate through the remaining elements A[j] where j > i.
        -If (A[i] + A[j]) % K == 0, increment count by 1.
Step 3. Return count."
4,"def isSpiltPossible ( n , a ) :
    """"""Write a function that takes an integer n and a list of integers a.
    The function checks if it is possible to split the list into two parts such that the sum of each part is equal.
    If it is possible, the function returns True, otherwise it returns False.
    """"""","How to solve:
Step 1. Calculate the total sum of the list a.
Step 2. If the total sum is odd, return False.
Step 3. Initialize a variable sum1 as 0.
Step 4. Iterate through the list a.
    -Add the current element to sum1.
    -If sum1 is equal to half of the total sum, return True.
Step 5. Return False."
5,"def findParity ( x ) :
    """"""Write a function that takes an integer as input and returns 1 if the number has odd parity (an odd number of 1 bits in its binary representation) or 0 if it has even parity (an even number of 1 bits in its binary representation).
    """"""","How to solve:
Step 1. Convert the input integer to its binary representation.
Step 2. Count the number of 1 bits in the binary representation.
Step 3. If the count is odd, return 1. Otherwise, return 0."
6,"def missing_elements ( vec ) :
    """"""Write a function that takes a list of integers and returns a list of missing elements.
    The function first iterates through the input list and modifies the elements by changing the sign of the element at the index equal to the absolute value of the current element minus one.
    Then, it iterates through the modified list and appends the indices of the positive elements plus one to the output list.
    Finally, it returns the output list.
    """"""","How to solve:
Step 1. Initialize an empty list called ""output"".
Step 2. Iterate through the input list.
    - Modify the elements by changing the sign of the element at the index equal to the absolute value of the current element minus one.
Step 3. Iterate through the modified list.
    - If the element is positive, append the index plus one to the output list.
Step 4. Return the output list."
7,"def findSubsequence ( arr , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns the length of the longest subsequence in the array such that each element in the subsequence has at least one digit in common with every other element in the subsequence.
    """"""","How to solve:
Step 1. Initialize a variable max_len as 0 to store the length of the longest subsequence.
Step 2. Iterate through the array.
    -For each element, convert it to a string and store its digits in a set.
    -Initialize a variable curr_len as 1 to store the length of the current subsequence.
    -Iterate through the remaining elements in the array.
        -For each element, convert it to a string and check if any of its digits are in the set of digits from the previous element.
        -If at least one digit is found, increment curr_len by 1.
    -If curr_len is greater than max_len, update max_len with curr_len.
Step 3. Return max_len."
8,"import math

def Distinct_Prime_factors ( a ) :
    """"""Write a function that takes a list of integers and returns the number of distinct prime factors for each integer in the list.
    """"""","How to solve:
Step 1. Define a function that takes a list of integers as input.
Step 2. Iterate through each integer in the list.
    -For each integer, find the distinct prime factors.
    -Count the number of distinct prime factors.
    -Return the count for each integer.
Step 3. Return the list of counts."
9,"def findSum ( arr , n , k ) :
    """"""Write a function that takes an array, the length of the array, and an integer k as input.
    The function calculates the sum of the difference between the kth largest element and the first element of the array, and the difference between the kth largest element and each element from index 1 to k.
    The function returns the minimum value among these differences.
    """"""","How to solve:
Step 1. Sort the array in non-decreasing order.
Step 2. Calculate the difference between the kth largest element and the first element of the array.
Step 3. Iterate from index 1 to k and calculate the difference between the kth largest element and each element.
Step 4. Return the minimum value among these differences."
10,"def run_tasks ( A , B ) :
    """"""Write a function that takes two lists, A and B, and returns the total time it takes to complete a series of tasks.
    The function iterates through the lists, comparing each element from A with the corresponding element from B.
    If the elements are equal, the total time is incremented by 1.
    If the elements are not equal, the element from B is moved to the front of the list and the element from A is moved to the end of the list.
    The total time is incremented by 2 in this case.
    The function continues this process until all elements in A have been compared.
    Finally, the function returns the total time.
    """"""","How to solve:
Step 1. Initialize total time as 0.
Step 2. Iterate through the elements in list A.
    -Compare each element from A with the corresponding element from B.
    -If they are equal, increment total time by 1.
    -If they are not equal, move the element from B to the front of the list and the element from A to the end of the list.
    -Increment total time by 2.
Step 3. Return the total time."
11,"def calculate ( array , size ) :
    """"""Write a function that takes an array and its size as input and returns the count of even numbers in the array, excluding 0 and 2.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the array.
    -If the current element is even and not equal to 0 or 2, increment count by 1.
Step 3. Return count."
12,"def find_sub ( s , k ) :
    """"""Write a function that takes a string and an integer as input and returns the number of substrings in the string that contain at most k distinct characters.
    """"""","How to solve:
Step 1. Initialize a counter variable to keep track of the number of substrings.
Step 2. Iterate through each character in the string.
    -For each character, create a set to keep track of distinct characters.
    -Iterate through the string starting from the current character.
        -For each substring, add the characters to the set.
        -If the length of the set is less than or equal to k, increment the counter.
        -If the length of the set is greater than k, break out of the inner loop.
Step 3. Return the counter variable."
13,"def Survives ( n ) :
    """"""Write a function that takes an integer as input and returns True if the integer survives the given condition, or False otherwise.
    The condition is as follows: starting from 2, divide the integer by the current number and subtract the result from the integer.
    Repeat this process until the current number is greater than the integer.
    If the integer reaches 1 at any point, return True.
    If the integer is divisible by any of the current numbers, return False.
    """"""","How to solve:
Step 1. Start with current number as 2.
Step 2. Repeat the following steps until current number > n:
    - Divide n by current number and subtract the result from n.
    - If n reaches 1, return True.
    - If n is divisible by current number, return False.
    - Increment current number by 1.
Step 3. If the loop completes without returning True or False, return False."
14,"def computeXOR ( n ) :
    """"""Write a function that takes an integer as input and computes the XOR of the integer with a specific pattern.
    The function uses a switch statement to determine the XOR value based on the remainder of the input integer divided by 4.
    The switch statement has four cases: 
- If the remainder is 0, the function returns the input integer itself.
   
- If the remainder is 1, the function returns 1.
   
- If the remainder is 2, the function returns the input integer plus 1.
   
- If the remainder is 3, the function returns 0.
   
If the input integer does not match any of the cases, the function returns an empty string.
    """"""","How to solve:
Step 1. Use a switch statement to determine the XOR value based on the remainder of the input integer divided by 4.
    - If remainder is 0, return the input integer itself.
    - If remainder is 1, return 1.
    - If remainder is 2, return the input integer plus 1.
    - If remainder is 3, return 0.
    - If input integer does not match any of the cases, return an empty string."
